EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,PLAN_ESTUDIOS_DETERMINANTE,TIPOS_ESPACIOS,OTROS_TIPO_ESPAC,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,OTROS_ELEC_CARRERA,MATERIA1,MATERIA2,MATERIA3,MATERIA4,MATERIA5,CALIFM1,CALIFM2,CALIFM3,CALIFM4,CALIFM5,INFLU_MEDIATICA,CARR_PROF_PADRES,,,
23,Hombre,Ingenier°a en Computaci¢n,19,4,2,2,1,1,1,1,1,5,4,1,Oficinas,,An†lisis,Creatividad,Toma de decisiones,ser bilingÅe,liderazgo,7,7,7,7,6,Personal,,Matem†ticas,F°sica,,,,8,8,,,,Ninguno ,S/carreta ,,,
23,Hombre,Ingenier°a en Computaci¢n,16,4,5,5,4,5,1,3,5,5,4,5,Oficinas,,Destreza,Estrategia,Retenci¢n,Calculo Mental,Imaginaci¢n,9,8,8,9,8,Personal,,Calculo,F°sica,Programaci¢n,Qu°mica,Ortograf°a,9,8,8,10,10,Web / Redes Soc,Diferente ,,,
20,Mujer,Ingenier°a en Computaci¢n,13,5,5,5,5,4,1,1,1,4,1,5,Oficinas,,Trabajo en equipo,An†lisis,Resoluci¢n de problemas,L¢gica,,7,8,8,8,,Personal,,Matem†ticas,Computaci¢n,F°sica,InglÇs,,9,10,8,9,,Ninguno ,Similar,,,
22,Mujer,Ingenier°a en Computaci¢n,19,3,4,1,1,4,5,4,2,3,1,3,Oficinas,,Disciplina ,Innovaci¢n ,L¢gica ,Inteligencia ,Conocimiento ,7,8,6,9,8,Personal ,,C†lculo ,F°sica ,µlgebra ,,,10,9,10,,,Tv/medios impresos ,S/carreta ,,,
25,Mujer,Ingenier°a en Telecomunicaciones,18,2,2,5,5,5,5,5,1,4,4,1,Extranjero,,Autoaprendizaje,ser bilingÅe,Dedicaci¢n,,,8,9,8,,,Personal,,F°sica,Programaci¢n,Matem†ticas,Calculo,,6,8,7,8,,Ninguno,S/carreta ,,,
24,Hombre,Ingenier°a Geof°sica,20,5,5,5,4,5,2,2,1,1,5,5,Campo,,Liderazgo,ser bilingÅe,,,,7,6,,,,Personal,,Algebra,C¢mputo,Geograf°a,Qu°mica,,8,6,10,7,,Ninguno,Similar,,,
21,Mujer,Ingenier°a en Computaci¢n,19,4,3,4,4,5,3,4,4,4,4,4,Oficinas,,Proactivo,Paciencia,Logica,Liderazgo,Empat°a,9,8,8,8,6,Personal,,Calculo,Cibernetica,F°sica,,,6,9,8,,,Ninguno,Similar,,,
22,Mujer,Ingenier°a en Computaci¢n,17,4,5,2,5,2,5,5,4,2,2,1,Extranjero,,Administraci¢n,Razonamiento,An†lisis,Inteligencia ,Trabajo en equipo,7,7,9,10,7,Personal,,C†lculo,Est†distica,µlgebra,Programaci¢n,F°sica,9,7,6,6,,Ninguno,Diferente ,,,
19,Hombre,Ingenieria Petrolera,17,3,3,4,1,5,1,1,1,5,5,4,Campo,,Perseverancia,Extrovertido,Liderazgo,Idioma,Radical,9,7,8,7,8,Personal,,calculo,quimica,fisica,geografia,ingles,8,10,9,10,10,TV/Medios impresos,s/carrera,,,
18,Hombre,Ingenieria Petrolera,17,5,5,4,2,4,4,4,3,3,4,4,Campo,,Liderazgo,Idioma,Objetivo,Ingenioso,Radical,8,9,8,8,7,Personal,,calculo,quimica,fisica,ingles,,8,6,9,10,,Ninguno,Diferente,,,
