EDAD,GENERO,CARRERA,EDAD_ELECCION_CARRERA,ID_CARRERA,CARRERA_LO_QREALM_QUERIAS,APASIONA_TUCARRERA,OPORT_LABORALES,FERIAS_EXPO,REC_FINANCIEROS,PASE_AUTOMATICO,PROM_CALIF_MIN,DIST_ALA_UNIV,PRESTIG_TITULO,SALARIO_PROM,TIPOS_ESPACIOS,HABILIDAD1,HABILIDAD2,HABILIDAD3,HABILIDAD4,HABILIDAD5,CALIF_HABIL1,CALIF_HABIL2,CALIF_HABIL3,CALIF_HABIL4,CALIF_HABIL5,ELECC_CARRERA,ESPACIOS_ID,HABILIDAD1_ID,HABILIDAD2_ID,HABILIDAD3_ID,HABILIDAD4_ID,HABILIDAD5_ID
22,HOMBRE,INGENIERIA GEOFISICA,17,6,4,4,5,5,5,5,1,5,3,3,OFICINAS,MATEMATICA,PROGRAMACION,IDIOMAS,ANALISIS ESPACIAL,REDACCION,10.0,8.0,7.0,10.0,8.0,PERSONAL,0,7,10,37,46,27
22,HOMBRE,INGENIERIA GEOFISICA,18,6,4,5,5,5,5,5,5,1,4,4,EXTRANJERO,FISICOMATEMATICA,UBIACION,IMAGINACION,OBSERVACION,INTERPRETACION,8.0,10.0,8.0,7.0,9.0,PERSONAL,2,61,64,27,53,40
22,HOMBRE,INGENIERIA GEOFISICA,17,6,2,3,3,4,1,1,1,1,1,4,OTROS,ABSTRACTA,MATEMATICA,SOCIAL,LOGICA,REDACCION,7.0,7.0,8.0,7.0,7.0,PERSONAL,3,56,40,79,7,27
21,HOMBRE,INGENIERIA GEOFISICA,17,6,4,3,5,2,2,1,1,5,5,5,EXTRANJERO,FISICA,MATEMATICA,PROGRAMACION,INGLES,EXPOSICION DE TEMAS,9.0,10.0,9.0,10.0,9.0,PERSONAL,2,63,40,11,25,88
21,MUJER,INGENIERIA INDUSTRIAL,18,1,5,5,5,1,3,2,1,1,1,1,OTROS,IDIOMA,ANALISIS,LECTURA,SENSIBILIDAD,INVESTIGACION,8.0,9.0,9.0,9.0,7.0,PERSONAL,3,46,12,64,88,13
22,MUJER,INGENIERIA INDUSTRIAL,18,1,4,3,4,5,5,2,3,4,1,1,CAMPO,HABILIDAD MATEMATICA,INGLES,ANALISIS,INVESTIGACION,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL,1,13,66,3,29,0
24,MUJER,INGENIERIA ELECTRICA ELECTRONICA,19,2,5,5,4,3,4,1,1,1,3,5,OFICINAS,MATEMATICAS,CREATIVIDAD,EXPRESION,NOINFO,NOINFO,7.0,7.0,7.0,0.0,0.0,PERSONAL,0,3,1,35,1,0
19,MUJER,INGENIERIA EN COMPUTACION,18,0,3,3,5,5,2,5,1,4,3,5,CAMPO,PENSAMIENTO ABSTRACTO,ANALISIS,RAZONAMIENTO,CREATIVIDAD,ORGANIZACION,7.0,7.0,7.0,5.0,5.0,PERSONAL,1,53,12,18,3,8
22,HOMBRE,INGENIERIA GEOLOGICA,17,14,5,5,5,4,5,2,2,1,1,5,EXTRANJERO,LIDERAZGO,IDIOMA,TRABAJO EN EQUIPO,PRIMEROS AUXILIOS,COMPUTACION,7.0,6.0,10.0,5.0,8.0,PERSONAL,2,2,19,7,67,44
24,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,4,4,4,4,4,4,4,4,CAMPO,PROACTIVO,RAZONAMIENTO,ADMINISTRACION,LIDERAZGO,EMPATIA,9.0,9.0,9.0,9.0,8.0,PERSONAL,1,27,2,70,8,35
23,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,5,5,5,1,5,5,1,2,2,CAMPO,LOGICA,PACIENCIA,CONSTANCIA,ETICA,RAZONAMIENTO,8.0,10.0,8.0,9.0,8.0,FAMILIARES,1,9,8,9,113,6
26,HOMBRE,INGENIERIA EN COMPUTACION,22,0,2,5,2,2,5,1,1,1,5,4,CAMPO,RAZONAMIENTO,CURIOSIDAD,CREATIVIDAD,LOGICA,PACIENCIA,8.0,8.0,7.0,8.0,10.0,PERSONAL,1,28,96,4,7,18
25,HOMBRE,INGENIERIA EN COMPUTACION,15,0,2,2,5,4,4,5,5,1,4,4,CAMPO,LIDERAZGO,TRABAJO EN EQUIPO,INTELIGENCIAS,DISCIPLINA,LOGICA,8.0,9.0,8.0,7.0,9.0,PERSONAL,1,2,11,105,31,15
21,HOMBRE,INGENIERIA EN COMPUTACION,16,0,4,3,5,5,1,3,2,1,2,3,CAMPO,INGENIO,RESPONSABILIDAD,CRITERIO,PENSAMIENTO ANALITICO,ABSTRACCION,8.0,7.0,9.0,9.0,8.0,PERSONAL,1,6,4,19,116,21
22,HOMBRE,INGENIERIA EN COMPUTACION,16,0,5,5,4,3,2,1,1,1,2,2,CAMPO,RAZONAMIENTO,DEDICACION,PACIENCIA,PRACTICAR,TRABAJO EN EQUIPO,8.0,8.0,9.0,8.0,7.0,PERSONAL,1,28,23,16,70,1
22,MUJER,INGENIERIA GEOFISICA,17,6,4,5,5,1,2,3,1,1,4,4,EXTRANJERO,PROGRAMAR,GEOLOGIA,MANEJO DE CONCEPTOS ABSTRACTOS,INTERPRETACION,NOINFO,6.0,8.0,8.0,7.0,0.0,PERSONAL,2,37,97,110,85,0
22,HOMBRE,INGENIERIA EN TELECOMUNICACIONES,17,9,4,4,5,5,4,5,5,5,4,3,CAMPO,DISENO,RESOLUCION DE PROBLEMAS,HABILIDADES COMUNICATIVAS,INVESTIGACION,HABILIDADES DE COMUNICACION,8.0,9.0,10.0,8.0,9.0,PERSONAL,1,30,16,28,29,3
22,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,5,1,5,5,4,1,4,5,OTROS,INGENIO,PROGRAMACION,MATEMATICAS,TRABAJO EN EQUIPO,EFICACIA,8.0,6.0,9.0,8.0,9.0,PERSONAL,3,6,10,17,6,72
21,HOMBRE,INGENIERIA EN MINAS Y METALURGIA ,17,19,2,3,5,1,4,5,5,2,4,5,EXTRANJERO,RESOLVER PROBLEMAS,ANALISIS,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTOS DE NORMAS,9.0,9.0,5.0,7.0,6.0,OTROS ,2,14,12,7,38,42
23,MUJER,INGENIERIA GEOLOGICA ,17,14,4,4,5,2,2,2,2,2,1,2,EXTRANJERO,TRABAJO EN EQUIPO,IDIOMAS,CONOCIMIENTO DEL CONTEXTO AMBIENTAL,GEOHISTORIA,LOGICA,4.0,4.0,5.0,5.0,5.0,PERSONAL ,2,5,84,50,65,15
18,MUJER,INGENIERIA CIVIL ,15,3,5,3,4,4,5,5,1,1,2,3,EXTRANJERO,CREATIVIDAD,INGENIO,RAPIDEZ,DESEMPENO,EXCELENCIA,5.0,5.0,5.0,5.0,2.0,PERSONAL ,2,4,25,13,39,51
18,MUJER,INGENIERIA CIVIL ,18,3,4,4,5,5,5,5,5,2,4,4,EXTRANJERO,IMAGINACION,INNOVACION,CREATIVIDAD,DESEMPENO,NOINFO,8.0,8.0,9.0,8.0,0.0,PERSONAL ,2,33,27,4,39,0
22,HOMBRE,INGENIERIA CIVIL ,16,3,5,4,5,5,4,5,2,3,5,5,EXTRANJERO,IMAGINACION,CAPACIDAD DE DECISCION,ENSENAR,NOINFO,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL ,2,33,54,60,1,0
20,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,4,3,4,5,5,1,1,1,CAMPO,LOGICA,RAZONAMIENTO,MATEMATICAS,CONDICION FISICA,DISCIPLINA,8.0,8.0,7.0,7.0,10.0,PERSONAL ,1,9,2,17,24,9
24,HOMBRE,INGENIERIA INDUSTRIAL,18,1,2,5,4,3,2,4,4,4,4,5,CAMPO,RAZONAMIENTO,TOMA DE DECISIONES,VENTAS,TRABAJO BAJO PRESION,MATEMATICAS,8.0,9.0,9.0,8.0,6.0,PERSONAL ,1,28,31,94,19,43
20,HOMBRE,INGENIERIA EN COMPUTACION,17,0,3,4,1,1,3,5,4,2,3,1,OTROS,DISCIPLINA,CREATIVIDAD,TRABAJO EN EQUIPO,INTELIGENCIA,CONOCIMIENTO,7.0,8.0,6.0,9.0,8.0,PERSONAL ,3,11,1,7,10,33
20,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,5,5,4,5,1,1,1,5,5,OTROS,RESOLVER PROBLEMAS,ACTITUD,PROGRAMAR,TRABAJAR EN EQUIPO,COMUNICACION,8.0,7.0,9.0,8.0,7.0,PERSONAL ,3,14,44,62,100,34
21,HOMBRE,INGENIERIA EN COMPUTACION,18,0,5,5,5,5,2,1,1,1,1,1,CAMPO,PROGRAMACION,OBTENER INFORMACION,INGLES,MEMORIA,LEER,8.0,8.0,5.0,7.0,8.0,PERSONAL ,1,16,83,42,48,38
23,HOMBRE,INGENIERIA EN COMPUTACION,16,0,4,4,5,5,2,1,5,2,4,4,CAMPO,TRABAJO EN EQUIPO,PACIENCIA,RESPONSABILIDAD,COMPRENSION,DEDICACION,10.0,8.0,8.0,10.0,6.0,PERSONAL,1,5,8,21,32,2
25,MUJER,INGENIERIA EN COMPUTACION,18,0,4,4,5,5,5,5,5,5,2,1,CAMPO,AUTOAPRENDIZAJE,NOINFO,NOINFO,NOINFO,NOINFO,7.0,0.0,0.0,0.0,0.0,PERSONAL,1,31,5,2,1,0
23,HOMBRE,INGENIERIA EN COMPUTACION,19,0,4,2,2,1,1,1,1,1,5,4,CAMPO,ANALISIS,CREATIVIDAD,TOMA DE DECISIONES,SER BILINGUE,LIDERAZGO,7.0,7.0,7.0,7.0,6.0,PERSONAL,1,1,1,51,56,4
23,HOMBRE,INGENIERIA EN COMPUTACION,16,0,4,5,5,4,5,1,3,5,5,4,CAMPO,DESTREZA,ESTRATEGIA,RETENCION,CALCULO,CREATIVIDAD E IMAGINACION,9.0,8.0,8.0,9.0,8.0,PERSONAL,1,34,51,88,55,41
20,MUJER,INGENIERIA EN COMPUTACION,13,0,5,5,5,5,4,1,1,1,4,1,CAMPO,TRABAJO EN EQUIPO,ANALISIS,RESOLUCION DE PROBLEMAS,LOGICA,NOINFO,7.0,8.0,8.0,8.0,0.0,PERSONAL,1,5,12,1,7,0
22,MUJER,INGENIERIA EN COMPUTACION,19,0,3,4,1,1,4,5,4,2,3,1,CAMPO,DISCIPLINA,INNOVACION,LOGICA,INTELIGENCIA,CONOCIMIENTO,7.0,8.0,6.0,9.0,8.0,PERSONAL ,1,11,27,12,10,33
25,MUJER,INGENIERIA EN TELECOMUNICACIONES,18,9,2,2,5,5,5,5,5,1,4,4,OTROS,AUTOAPRENDIZAJE,SER BILINGUE,DEDICACION,NOINFO,NOINFO,8.0,9.0,8.0,0.0,0.0,PERSONAL,3,31,28,6,1,0
24,HOMBRE,INGENIERIA GEOFISICA,20,6,5,5,5,4,5,2,2,1,1,5,EXTRANJERO,LIDERAZGO,SER BILINGUE,NOINFO,NOINFO,NOINFO,7.0,6.0,0.0,0.0,0.0,PERSONAL,2,2,28,2,1,0
21,MUJER,INGENIERIA EN COMPUTACION,19,0,4,3,4,4,5,3,4,4,4,4,CAMPO,PROACTIVO,PACIENCIA,LOGICA,LIDERAZGO,EMPATIA,9.0,8.0,8.0,8.0,6.0,PERSONAL,1,27,8,12,8,35
22,MUJER,INGENIERIA EN COMPUTACION,17,0,4,5,2,5,2,5,5,4,2,2,OTROS,ADMINISTRACION,RAZONAMIENTO,ANALISIS,INTELIGENCIA,TRABAJO EN EQUIPO,7.0,7.0,9.0,10.0,7.0,PERSONAL,3,79,2,3,10,1
19,HOMBRE,INGENIERIA PETROLERA,17,4,3,3,4,1,5,1,1,1,5,5,EXTRANJERO,PERSEVERANCIA,EXTROVERTIDO,LIDERAZGO,IDIOMA,RADICAL,9.0,7.0,8.0,7.0,8.0,PERSONAL,2,22,30,15,33,31
18,HOMBRE,INGENIERIA PETROLERA,17,4,5,5,4,2,4,4,4,3,3,4,EXTRANJERO,LIDERAZGO,IDIOMA,OBJETIVO,INGENIOSO,RADICAL,8.0,9.0,8.0,8.0,7.0,PERSONAL,2,2,19,76,71,31
19,HOMBRE,INGENIERIA PETROLERA,17,4,5,5,4,4,5,1,1,5,5,4,CAMPO,IDIOMA,EXTROVERTIDO,SOCIABLE,RADICAL,NOINFO,9.0,9.0,9.0,9.0,9.0,PERSONAL,1,46,30,81,97,0
20,HOMBRE,INGENIERIA CIVIL ,18,3,5,5,4,5,2,5,3,1,3,4,OTROS,IMAGINACION,LIDERAZGO,PENSAMIENTO MATEMATICO,ETICA PROFESIONAL,REDACTAR,8.0,8.0,9.0,9.0,9.0,PERSONAL,3,33,6,45,36,47
19,HOMBRE,INGENIERIA PETROLERA,17,4,5,5,4,1,2,5,4,4,4,2,EXTRANJERO,LIDERAZGO,OBJETIVIDAD,INTELIGENCIA,ESFUERZO,IDIOMA,7.0,10.0,10.0,9.0,7.0,PERSONAL,2,2,57,24,104,55
19,HOMBRE,INGENIERIA CIVIL ,17,3,5,5,5,5,4,5,5,1,1,1,CAMPO,CREATIVIDAD,RESOLVER PROBLEMAS,NOINFO,NOINFO,NOINFO,7.0,7.0,0.0,0.0,0.0,PERSONAL,1,4,34,2,1,0
19,HOMBRE,INGENIERIA CIVIL ,15,3,2,3,3,2,4,4,4,5,4,3,EXTRANJERO,ANALISIS,CRITERIO,PENSAMIENTO MATEMATICO,LIDERAZGO,CREATIVIDAD,7.0,8.0,6.0,7.0,8.0,PERSONAL,2,1,55,45,8,7
20,MUJER,INGENIERIA CIVIL ,16,3,5,5,3,2,5,4,4,1,1,1,EXTRANJERO,LIDERAZGO,CREATIVIDAD,NOINFO,NOINFO,NOINFO,9.0,8.0,0.0,0.0,0.0,PERSONAL,2,2,1,2,1,0
20,MUJER,INGENIERIA CIVIL ,17,3,4,4,5,5,5,4,5,3,1,1,EXTRANJERO,INNOVACION,LIDERAZGO,CREATIVIDAD,INICIATIVA,NOINFO,6.0,8.0,8.0,9.0,0.0,PERSONAL,2,66,6,4,87,0
19,HOMBRE,INGENIERIA CIVIL ,17,3,5,5,5,5,5,4,3,3,3,4,EXTRANJERO,HABILIDAD MATEMATICA,LIDERAZGO,CREATIVIDAD,CAPACIDAD DE ANALISIS Y AUTODIDACTA,SOCIALES,8.0,9.0,8.0,8.0,8.0,PERSONAL,2,13,6,4,11,25
27,HOMBRE,INGENIERIA CIVIL ,18,3,4,5,4,1,2,1,1,2,3,2,EXTRANJERO,SENTIDO COMUN,RESPONSABILIDAD,COMUNICACION,FISICOMATEMATICAS,TRABAJO EN EQUIPO,9.0,8.0,9.0,9.0,8.0,PERSONAL,2,64,4,40,93,1
55,HOMBRE,ARQUITECTURA,16,15,5,5,4,4,4,1,1,5,5,1,EXTRANJERO,ANALISIS,TOMA DE DECISIONES,PROGRAMACION,CONTROL,EFICIENCIA,9.0,9.0,8.0,9.0,9.0,PERSONAL,2,1,31,11,41,24
40,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,5,5,1,5,4,4,3,1,2,CAMPO,LOGICA,CREATIVIDAD,ABSTRACCION,NOINFO,NOINFO,8.0,9.0,8.0,0.0,0.0,PERSONAL,1,9,1,49,1,0
29,MUJER,INFORMATICA,19,17,4,3,3,3,3,4,4,1,3,3,CAMPO,COMUNICACION,OBJETIVIDAD,PRAGMATICA,CREATIVIDAD,METICULOSA,6.0,7.0,7.0,8.0,8.0,PERSONAL,1,29,57,68,3,50
20,MUJER,ADMINISTRACION,18,12,4,4,5,5,5,1,5,5,5,4,CAMPO,LIDERAZGO,ANALISIS,TOMA DE DECISIONES,COMUNICACION,HABILIDAD MATEMATICA,9.0,9.0,8.0,9.0,6.0,PERSONAL,1,2,12,51,13,17
35,HOMBRE,INGENIERIA DE SOFTWARE,30,34,5,5,4,1,3,1,4,2,3,3,CAMPO,DESARROLLO,CREATIVIDAD,DISENO,ANALISIS,NOINFO,8.0,8.0,8.0,8.0,0.0,PERSONAL,1,81,1,20,28,0
25,HOMBRE,INGENIERIA EN COMPUTACION,17,0,5,4,5,1,5,5,5,5,4,4,CAMPO,ANALISIS,ACTITUD,EMPRENDIMIENTO,LIDERAZGO,PACIENCIA,9.0,10.0,8.0,8.0,9.0,PERSONAL,1,1,44,47,8,18
22,HOMBRE,ADMINISTRACION,18,12,5,5,4,4,4,1,1,1,1,1,CAMPO,DINAMISMO,ANALISIS,COMPANERISMO,INFLUYENTE,FACILIDAD DE PALABRA,9.0,10.0,9.0,8.0,8.0,PERSONAL,1,72,12,44,95,100
21,HOMBRE,ADMINISTRACION,17,12,5,5,4,5,4,4,4,2,3,1,CAMPO,LIDERAZGO,NEGOCIACION,COMUNICACION,TOMA DE DECISIONES,ESTRATEGIA,9.0,8.0,10.0,9.0,10.0,PERSONAL,1,2,43,40,62,67
33,HOMBRE,DISENO Y COMUNICACION VISUAL,16,10,2,1,2,1,2,5,5,4,1,2,CAMPO,CREATIVIDAD,IMPROVISACION,CONSTANCIA,PERSEVERANCIA,NOINFO,6.0,5.0,5.0,4.0,0.0,PERSONAL,1,4,56,9,18,0
21,MUJER,INGENIERIA INDUSTRIAL,18,1,5,5,4,5,2,1,2,1,1,2,CAMPO,ANALISIS,LIDERAZGO,CAPACIDAD DE SINTESIS,EMPRENDEDRO,ORGANIZADO,9.0,8.0,10.0,9.0,10.0,PERSONAL,1,1,6,55,83,66
22,HOMBRE,INGENIERIA INDUSTRIAL,19,1,3,1,5,5,5,3,3,1,4,5,CAMPO,ORGANIZACION,INOVACION,PLANEACION,CONTROL,PRODUCCION,8.0,9.0,8.0,9.0,9.0,PERSONAL,1,42,35,98,41,64
22,HOMBRE,INGENIERIA INDUSTRIAL,18,1,4,4,5,5,5,5,5,5,5,5,OTROS,CREATIVIDAD,CRITERIO,INOVACION,EMPATIA,LIDERAZGO,8.0,9.0,8.0,8.0,8.0,PERSONAL,3,4,55,72,22,4
21,MUJER,INGENIERIA INDUSTRIAL,18,1,2,4,5,5,5,5,5,5,5,5,EXTRANJERO,CREATIVIDAD,VISUALIZAR A LARGO PLAZO,ANALISTA,RECTO,NOINFO,9.0,9.0,8.0,8.0,0.0,FAMILIARES,2,4,49,107,94,0
21,HOMBRE,INGENIERIA INDUSTRIAL,19,1,3,2,5,1,4,1,1,1,5,3,OTROS,ETICA,NEGOCIOS,CONTABILIDAD,ADMINISTRACION,LIDERAZGO,9.0,10.0,7.0,9.0,8.0,PERSONAL,3,75,75,93,26,4
23,HOMBRE,INGENIERIA EN COMPUTACION,17,0,4,4,1,1,1,4,5,1,1,4,CAMPO,RAZONAMIENTO,TRABAJO EN EQUIPO,AUTODIDACTA,RAZONAMIENTO,NOINFO,8.0,7.0,9.0,9.0,0.0,PERSONAL,1,28,11,41,9,0
23,HOMBRE,INGENIERIA EN COMPUTACION,18,0,4,4,4,4,3,3,3,4,1,3,CAMPO,EMPRENDER,REFLEXIONAR,RESOLVER PROBLEMAS,ANALISIS,NOINFO,8.0,8.0,9.0,8.0,0.0,PERSONAL,1,73,52,25,28,0
22,MUJER,INGENIERIA SISTEMAS BIOMEDICOS,19,28,5,5,5,1,2,1,1,1,2,2,OFICINAS,INTEGRAR CONCEPTOS,TRABAJO EN EQUIPO,ALTRUISMO,ENTENDIMIENTO,CONCEPTOS DE ELECTRONICA,9.0,8.0,9.0,10.0,9.0,PERSONAL,0,87,11,97,90,97
21,HOMBRE,INGENIERIA INDUSTRIAL,18,1,5,5,5,1,5,1,1,5,5,5,CAMPO,LIDERAZGO,DISIPLINA,PERSEVERANCIA,TRABAJO EN EQUIPO,ACTITUD,10.0,10.0,10.0,10.0,10.0,PERSONAL,1,2,99,48,6,62
